"","pkg","dataset","varname","grouping","nlev","type","error"
"30","party","mammoexp","PB","DECT",3,"t pool.sd","ok"
"31","party","mammoexp","PB","DECT",3,"t !pool.sd","ok"
"32","party","mammoexp","PB","DECT",3,"wilcox","ok"
"33","party","mammoexp","PB","DECT",3,"tukey","ok"
"34","party","mammoexp","ME:Never","DECT",3,"prop","ok"
"35","party","mammoexp","ME:Within a Year","DECT",3,"prop","ok"
"36","party","mammoexp","ME:Over a Year","DECT",3,"prop","ok"
"37","party","mammoexp","SYMPT:Strongly Agree","DECT",3,"prop","ok"
"38","party","mammoexp","SYMPT:Agree","DECT",3,"prop","ok"
"39","party","mammoexp","SYMPT:Disagree","DECT",3,"prop","ok"
"40","party","mammoexp","SYMPT:Strongly Disagree","DECT",3,"prop","ok"
"41","party","mammoexp","HIST:No","DECT",3,"prop","ok"
"42","party","mammoexp","HIST:Yes","DECT",3,"prop","ok"
"43","party","mammoexp","BSE:No","DECT",3,"prop","ok"
"44","party","mammoexp","BSE:Yes","DECT",3,"prop","ok"
"45","party","readingSkills","shoeSize","age",7,"t pool.sd","ok"
"46","party","readingSkills","shoeSize","age",7,"t !pool.sd","ok"
"47","party","readingSkills","shoeSize","age",7,"wilcox","ok"
"48","party","readingSkills","shoeSize","age",7,"tukey","ok"
"49","party","readingSkills","score","age",7,"t pool.sd","ok"
"50","party","readingSkills","score","age",7,"t !pool.sd","ok"
"51","party","readingSkills","score","age",7,"wilcox","ok"
"52","party","readingSkills","score","age",7,"tukey","ok"
"53","party","readingSkills","nativeSpeaker:no","age",7,"prop","ok"
"54","party","readingSkills","nativeSpeaker:yes","age",7,"prop","ok"
"55","vcd","Arthritis","ID","Improved",3,"t pool.sd","ok"
"56","vcd","Arthritis","ID","Improved",3,"t !pool.sd","ok"
"57","vcd","Arthritis","ID","Improved",3,"wilcox","ok"
"58","vcd","Arthritis","ID","Improved",3,"tukey","ok"
"59","vcd","Arthritis","Age","Improved",3,"t pool.sd","ok"
"60","vcd","Arthritis","Age","Improved",3,"t !pool.sd","ok"
"61","vcd","Arthritis","Age","Improved",3,"wilcox","ok"
"62","vcd","Arthritis","Age","Improved",3,"tukey","ok"
"63","vcd","Arthritis","Treatment:Placebo","Improved",3,"prop","ok"
"64","vcd","Arthritis","Treatment:Treated","Improved",3,"prop","ok"
"65","vcd","Arthritis","Sex:Female","Improved",3,"prop","ok"
"66","vcd","Arthritis","Sex:Male","Improved",3,"prop","ok"
"67","vcd","Bundesliga","HomeGoals","HomeTeam",52,"t pool.sd","ok"
"68","vcd","Bundesliga","HomeGoals","HomeTeam",52,"t !pool.sd","ok"
"69","vcd","Bundesliga","HomeGoals","HomeTeam",52,"wilcox","ok"
"70","vcd","Bundesliga","HomeGoals","HomeTeam",52,"tukey","only dimensions 1 <= n <= 1000 allowed"
"71","vcd","Bundesliga","AwayGoals","HomeTeam",52,"t pool.sd","ok"
"72","vcd","Bundesliga","AwayGoals","HomeTeam",52,"t !pool.sd","ok"
"73","vcd","Bundesliga","AwayGoals","HomeTeam",52,"wilcox","ok"
"74","vcd","Bundesliga","AwayGoals","HomeTeam",52,"tukey","only dimensions 1 <= n <= 1000 allowed"
"75","vcd","Bundesliga","Round","HomeTeam",52,"t pool.sd","ok"
"76","vcd","Bundesliga","Round","HomeTeam",52,"t !pool.sd","ok"
"77","vcd","Bundesliga","Round","HomeTeam",52,"wilcox","ok"
"78","vcd","Bundesliga","Round","HomeTeam",52,"tukey","only dimensions 1 <= n <= 1000 allowed"
"79","vcd","Bundesliga","Year","HomeTeam",52,"t pool.sd","ok"
"80","vcd","Bundesliga","Year","HomeTeam",52,"t !pool.sd","data are essentially constant"
"81","vcd","Bundesliga","Year","HomeTeam",52,"wilcox","broken"
"82","vcd","Bundesliga","Year","HomeTeam",52,"tukey","only dimensions 1 <= n <= 1000 allowed"
"83","vcd","Bundesliga","HomeGoals","AwayTeam",52,"t pool.sd","ok"
"84","vcd","Bundesliga","HomeGoals","AwayTeam",52,"t !pool.sd","ok"
"85","vcd","Bundesliga","HomeGoals","AwayTeam",52,"wilcox","ok"
"86","vcd","Bundesliga","HomeGoals","AwayTeam",52,"tukey","only dimensions 1 <= n <= 1000 allowed"
"87","vcd","Bundesliga","AwayGoals","AwayTeam",52,"t pool.sd","ok"
"88","vcd","Bundesliga","AwayGoals","AwayTeam",52,"t !pool.sd","ok"
"89","vcd","Bundesliga","AwayGoals","AwayTeam",52,"wilcox","ok"
"90","vcd","Bundesliga","AwayGoals","AwayTeam",52,"tukey","only dimensions 1 <= n <= 1000 allowed"
"91","vcd","Bundesliga","Round","AwayTeam",52,"t pool.sd","ok"
"92","vcd","Bundesliga","Round","AwayTeam",52,"t !pool.sd","ok"
"93","vcd","Bundesliga","Round","AwayTeam",52,"wilcox","ok"
"94","vcd","Bundesliga","Round","AwayTeam",52,"tukey","only dimensions 1 <= n <= 1000 allowed"
"95","vcd","Bundesliga","Year","AwayTeam",52,"t pool.sd","ok"
"96","vcd","Bundesliga","Year","AwayTeam",52,"t !pool.sd","data are essentially constant"
"97","vcd","Bundesliga","Year","AwayTeam",52,"wilcox","broken"
"98","vcd","Bundesliga","Year","AwayTeam",52,"tukey","only dimensions 1 <= n <= 1000 allowed"
"99","vcd","Bundesliga","HomeGoals","Year",46,"t pool.sd","ok"
"100","vcd","Bundesliga","HomeGoals","Year",46,"t !pool.sd","ok"
"101","vcd","Bundesliga","HomeGoals","Year",46,"wilcox","ok"
"102","vcd","Bundesliga","HomeGoals","Year",46,"tukey","only dimensions 1 <= n <= 1000 allowed"
"103","vcd","Bundesliga","AwayGoals","Year",46,"t pool.sd","ok"
"104","vcd","Bundesliga","AwayGoals","Year",46,"t !pool.sd","ok"
"105","vcd","Bundesliga","AwayGoals","Year",46,"wilcox","ok"
"106","vcd","Bundesliga","AwayGoals","Year",46,"tukey","only dimensions 1 <= n <= 1000 allowed"
"107","vcd","Bundesliga","Round","Year",46,"t pool.sd","ok"
"108","vcd","Bundesliga","Round","Year",46,"t !pool.sd","ok"
"109","vcd","Bundesliga","Round","Year",46,"wilcox","ok"
"110","vcd","Bundesliga","Round","Year",46,"tukey","only dimensions 1 <= n <= 1000 allowed"
"111","vcd","DanishWelfare","Freq","Alcohol",3,"t pool.sd","ok"
"112","vcd","DanishWelfare","Freq","Alcohol",3,"t !pool.sd","ok"
"113","vcd","DanishWelfare","Freq","Alcohol",3,"wilcox","ok"
"114","vcd","DanishWelfare","Freq","Alcohol",3,"tukey","ok"
"115","vcd","DanishWelfare","Income:0-50","Alcohol",3,"prop","ok"
"116","vcd","DanishWelfare","Income:50-100","Alcohol",3,"prop","ok"
"117","vcd","DanishWelfare","Income:100-150","Alcohol",3,"prop","ok"
"118","vcd","DanishWelfare","Income:>150","Alcohol",3,"prop","ok"
"119","vcd","DanishWelfare","Status:Widow","Alcohol",3,"prop","ok"
"120","vcd","DanishWelfare","Status:Married","Alcohol",3,"prop","ok"
"121","vcd","DanishWelfare","Status:Unmarried","Alcohol",3,"prop","ok"
"122","vcd","DanishWelfare","Freq","Income",4,"t pool.sd","ok"
"123","vcd","DanishWelfare","Freq","Income",4,"t !pool.sd","ok"
"124","vcd","DanishWelfare","Freq","Income",4,"wilcox","ok"
"125","vcd","DanishWelfare","Freq","Income",4,"tukey","ok"
"126","vcd","DanishWelfare","Alcohol:<1","Income",4,"prop","ok"
"127","vcd","DanishWelfare","Alcohol:1-2","Income",4,"prop","ok"
"128","vcd","DanishWelfare","Alcohol:>2","Income",4,"prop","ok"
"129","vcd","DanishWelfare","Status:Widow","Income",4,"prop","ok"
"130","vcd","DanishWelfare","Status:Married","Income",4,"prop","ok"
"131","vcd","DanishWelfare","Status:Unmarried","Income",4,"prop","ok"
"132","vcd","DanishWelfare","Freq","Status",3,"t pool.sd","ok"
"133","vcd","DanishWelfare","Freq","Status",3,"t !pool.sd","ok"
"134","vcd","DanishWelfare","Freq","Status",3,"wilcox","ok"
"135","vcd","DanishWelfare","Freq","Status",3,"tukey","ok"
"136","vcd","DanishWelfare","Alcohol:<1","Status",3,"prop","ok"
"137","vcd","DanishWelfare","Alcohol:1-2","Status",3,"prop","ok"
"138","vcd","DanishWelfare","Alcohol:>2","Status",3,"prop","ok"
"139","vcd","DanishWelfare","Income:0-50","Status",3,"prop","ok"
"140","vcd","DanishWelfare","Income:50-100","Status",3,"prop","ok"
"141","vcd","DanishWelfare","Income:100-150","Status",3,"prop","ok"
"142","vcd","DanishWelfare","Income:>150","Status",3,"prop","ok"
"143","vcd","DanishWelfare","Freq","Urban",5,"t pool.sd","ok"
"144","vcd","DanishWelfare","Freq","Urban",5,"t !pool.sd","ok"
"145","vcd","DanishWelfare","Freq","Urban",5,"wilcox","ok"
"146","vcd","DanishWelfare","Freq","Urban",5,"tukey","ok"
"147","vcd","DanishWelfare","Alcohol:<1","Urban",5,"prop","ok"
"148","vcd","DanishWelfare","Alcohol:1-2","Urban",5,"prop","ok"
"149","vcd","DanishWelfare","Alcohol:>2","Urban",5,"prop","ok"
"150","vcd","DanishWelfare","Income:0-50","Urban",5,"prop","ok"
"151","vcd","DanishWelfare","Income:50-100","Urban",5,"prop","ok"
"152","vcd","DanishWelfare","Income:100-150","Urban",5,"prop","ok"
"153","vcd","DanishWelfare","Income:>150","Urban",5,"prop","ok"
"154","vcd","DanishWelfare","Status:Widow","Urban",5,"prop","ok"
"155","vcd","DanishWelfare","Status:Married","Urban",5,"prop","ok"
"156","vcd","DanishWelfare","Status:Unmarried","Urban",5,"prop","ok"
"157","vcd","Hitters","Putouts","Positions",7,"t pool.sd","ok"
"158","vcd","Hitters","Putouts","Positions",7,"t !pool.sd","ok"
"159","vcd","Hitters","Putouts","Positions",7,"wilcox","ok"
"160","vcd","Hitters","Putouts","Positions",7,"tukey","ok"
"161","vcd","Hitters","Assists","Positions",7,"t pool.sd","ok"
"162","vcd","Hitters","Assists","Positions",7,"t !pool.sd","ok"
"163","vcd","Hitters","Assists","Positions",7,"wilcox","ok"
"164","vcd","Hitters","Assists","Positions",7,"tukey","ok"
"165","vcd","Hitters","Errors","Positions",7,"t pool.sd","ok"
"166","vcd","Hitters","Errors","Positions",7,"t !pool.sd","ok"
"167","vcd","Hitters","Errors","Positions",7,"wilcox","ok"
"168","vcd","Hitters","Errors","Positions",7,"tukey","ok"
"169","vcd","Punishment","Freq","education",3,"t pool.sd","ok"
"170","vcd","Punishment","Freq","education",3,"t !pool.sd","ok"
"171","vcd","Punishment","Freq","education",3,"wilcox","ok"
"172","vcd","Punishment","Freq","education",3,"tukey","ok"
"173","vcd","Punishment","attitude:no","education",3,"prop","ok"
"174","vcd","Punishment","attitude:moderate","education",3,"prop","ok"
"175","vcd","Punishment","memory:yes","education",3,"prop","ok"
"176","vcd","Punishment","memory:no","education",3,"prop","ok"
"177","vcd","Punishment","age:15-24","education",3,"prop","ok"
"178","vcd","Punishment","age:25-39","education",3,"prop","ok"
"179","vcd","Punishment","age:40-","education",3,"prop","ok"
"180","vcd","Punishment","Freq","age",3,"t pool.sd","ok"
"181","vcd","Punishment","Freq","age",3,"t !pool.sd","ok"
"182","vcd","Punishment","Freq","age",3,"wilcox","ok"
"183","vcd","Punishment","Freq","age",3,"tukey","ok"
"184","vcd","Punishment","attitude:no","age",3,"prop","ok"
"185","vcd","Punishment","attitude:moderate","age",3,"prop","ok"
"186","vcd","Punishment","memory:yes","age",3,"prop","ok"
"187","vcd","Punishment","memory:no","age",3,"prop","ok"
"188","vcd","Punishment","education:elementary","age",3,"prop","ok"
"189","vcd","Punishment","education:secondary","age",3,"prop","ok"
"190","vcd","Punishment","education:high","age",3,"prop","ok"
"191","vcd","Suicide","Freq","method",9,"t pool.sd","ok"
"192","vcd","Suicide","Freq","method",9,"t !pool.sd","ok"
"193","vcd","Suicide","Freq","method",9,"wilcox","ok"
"194","vcd","Suicide","Freq","method",9,"tukey","ok"
"195","vcd","Suicide","age","method",9,"t pool.sd","ok"
"196","vcd","Suicide","age","method",9,"t !pool.sd","ok"
"197","vcd","Suicide","age","method",9,"wilcox","ok"
"198","vcd","Suicide","age","method",9,"tukey","ok"
"199","vcd","Suicide","sex:male","method",9,"prop","ok"
"200","vcd","Suicide","sex:female","method",9,"prop","ok"
"201","vcd","Suicide","Freq","age",17,"t pool.sd","ok"
"202","vcd","Suicide","Freq","age",17,"t !pool.sd","ok"
"203","vcd","Suicide","Freq","age",17,"wilcox","ok"
"204","vcd","Suicide","Freq","age",17,"tukey","ok"
"205","vcd","Suicide","sex:male","age",17,"prop","ok"
"206","vcd","Suicide","sex:female","age",17,"prop","ok"
"207","vcd","Suicide","Freq","age.group",5,"t pool.sd","ok"
"208","vcd","Suicide","Freq","age.group",5,"t !pool.sd","ok"
"209","vcd","Suicide","Freq","age.group",5,"wilcox","ok"
"210","vcd","Suicide","Freq","age.group",5,"tukey","ok"
"211","vcd","Suicide","age","age.group",5,"t pool.sd","ok"
"212","vcd","Suicide","age","age.group",5,"t !pool.sd","ok"
"213","vcd","Suicide","age","age.group",5,"wilcox","ok"
"214","vcd","Suicide","age","age.group",5,"tukey","ok"
"215","vcd","Suicide","sex:male","age.group",5,"prop","ok"
"216","vcd","Suicide","sex:female","age.group",5,"prop","ok"
"217","vcd","Suicide","Freq","method2",8,"t pool.sd","ok"
"218","vcd","Suicide","Freq","method2",8,"t !pool.sd","ok"
"219","vcd","Suicide","Freq","method2",8,"wilcox","ok"
"220","vcd","Suicide","Freq","method2",8,"tukey","ok"
"221","vcd","Suicide","age","method2",8,"t pool.sd","ok"
"222","vcd","Suicide","age","method2",8,"t !pool.sd","ok"
"223","vcd","Suicide","age","method2",8,"wilcox","ok"
"224","vcd","Suicide","age","method2",8,"tukey","ok"
"225","vcd","Suicide","sex:male","method2",8,"prop","ok"
"226","vcd","Suicide","sex:female","method2",8,"prop","ok"
"227","vcd","VonBort","deaths","year",20,"t pool.sd","ok"
"228","vcd","VonBort","deaths","year",20,"t !pool.sd","ok"
"229","vcd","VonBort","deaths","year",20,"wilcox","ok"
"230","vcd","VonBort","deaths","year",20,"tukey","ok"
"231","vcd","VonBort","fisher:no","year",20,"prop","ok"
"232","vcd","VonBort","fisher:yes","year",20,"prop","ok"
"233","vcd","VonBort","deaths","corps",14,"t pool.sd","ok"
"234","vcd","VonBort","deaths","corps",14,"t !pool.sd","ok"
"235","vcd","VonBort","deaths","corps",14,"wilcox","ok"
"236","vcd","VonBort","deaths","corps",14,"tukey","ok"
"237","vcd","VonBort","year","corps",14,"t pool.sd","ok"
"238","vcd","VonBort","year","corps",14,"t !pool.sd","ok"
"239","vcd","VonBort","year","corps",14,"wilcox","ok"
"240","vcd","VonBort","year","corps",14,"tukey","ok"
"241","vcd","VonBort","fisher:no","corps",14,"prop","ok"
"242","vcd","VonBort","fisher:yes","corps",14,"prop","ok"
"243","strucchange","GermanM1","m","season",4,"t pool.sd","ok"
"244","strucchange","GermanM1","m","season",4,"t !pool.sd","ok"
"245","strucchange","GermanM1","m","season",4,"wilcox","ok"
"246","strucchange","GermanM1","m","season",4,"tukey","ok"
"247","strucchange","GermanM1","p","season",4,"t pool.sd","ok"
"248","strucchange","GermanM1","p","season",4,"t !pool.sd","ok"
"249","strucchange","GermanM1","p","season",4,"wilcox","ok"
"250","strucchange","GermanM1","p","season",4,"tukey","ok"
"251","strucchange","GermanM1","y","season",4,"t pool.sd","ok"
"252","strucchange","GermanM1","y","season",4,"t !pool.sd","ok"
"253","strucchange","GermanM1","y","season",4,"wilcox","ok"
"254","strucchange","GermanM1","y","season",4,"tukey","ok"
"255","strucchange","GermanM1","R","season",4,"t pool.sd","ok"
"256","strucchange","GermanM1","R","season",4,"t !pool.sd","ok"
"257","strucchange","GermanM1","R","season",4,"wilcox","ok"
"258","strucchange","GermanM1","R","season",4,"tukey","ok"
"259","strucchange","GermanM1","dm","season",4,"t pool.sd","ok"
"260","strucchange","GermanM1","dm","season",4,"t !pool.sd","ok"
"261","strucchange","GermanM1","dm","season",4,"wilcox","ok"
"262","strucchange","GermanM1","dm","season",4,"tukey","ok"
"263","strucchange","GermanM1","dy2","season",4,"t pool.sd","ok"
"264","strucchange","GermanM1","dy2","season",4,"t !pool.sd","ok"
"265","strucchange","GermanM1","dy2","season",4,"wilcox","ok"
"266","strucchange","GermanM1","dy2","season",4,"tukey","ok"
"267","strucchange","GermanM1","dR","season",4,"t pool.sd","ok"
"268","strucchange","GermanM1","dR","season",4,"t !pool.sd","ok"
"269","strucchange","GermanM1","dR","season",4,"wilcox","ok"
"270","strucchange","GermanM1","dR","season",4,"tukey","ok"
"271","strucchange","GermanM1","dR1","season",4,"t pool.sd","ok"
"272","strucchange","GermanM1","dR1","season",4,"t !pool.sd","ok"
"273","strucchange","GermanM1","dR1","season",4,"wilcox","ok"
"274","strucchange","GermanM1","dR1","season",4,"tukey","ok"
"275","strucchange","GermanM1","dp","season",4,"t pool.sd","ok"
"276","strucchange","GermanM1","dp","season",4,"t !pool.sd","ok"
"277","strucchange","GermanM1","dp","season",4,"wilcox","ok"
"278","strucchange","GermanM1","dp","season",4,"tukey","ok"
"279","strucchange","GermanM1","m1","season",4,"t pool.sd","ok"
"280","strucchange","GermanM1","m1","season",4,"t !pool.sd","ok"
"281","strucchange","GermanM1","m1","season",4,"wilcox","ok"
"282","strucchange","GermanM1","m1","season",4,"tukey","ok"
"283","strucchange","GermanM1","y1","season",4,"t pool.sd","ok"
"284","strucchange","GermanM1","y1","season",4,"t !pool.sd","ok"
"285","strucchange","GermanM1","y1","season",4,"wilcox","ok"
"286","strucchange","GermanM1","y1","season",4,"tukey","ok"
"287","strucchange","GermanM1","R1","season",4,"t pool.sd","ok"
"288","strucchange","GermanM1","R1","season",4,"t !pool.sd","ok"
"289","strucchange","GermanM1","R1","season",4,"wilcox","ok"
"290","strucchange","GermanM1","R1","season",4,"tukey","ok"
"291","strucchange","GermanM1","ecm.res","season",4,"t pool.sd","ok"
"292","strucchange","GermanM1","ecm.res","season",4,"t !pool.sd","ok"
"293","strucchange","GermanM1","ecm.res","season",4,"wilcox","ok"
"294","strucchange","GermanM1","ecm.res","season",4,"tukey","ok"
"295","strucchange","Grossarl","marriages","politics",4,"t pool.sd","ok"
"296","strucchange","Grossarl","marriages","politics",4,"t !pool.sd","ok"
"297","strucchange","Grossarl","marriages","politics",4,"wilcox","ok"
"298","strucchange","Grossarl","marriages","politics",4,"tukey","ok"
"299","strucchange","Grossarl","illegitimate","politics",4,"t pool.sd","ok"
"300","strucchange","Grossarl","illegitimate","politics",4,"t !pool.sd","ok"
"301","strucchange","Grossarl","illegitimate","politics",4,"wilcox","ok"
"302","strucchange","Grossarl","illegitimate","politics",4,"tukey","ok"
"303","strucchange","Grossarl","legitimate","politics",4,"t pool.sd","ok"
"304","strucchange","Grossarl","legitimate","politics",4,"t !pool.sd","ok"
"305","strucchange","Grossarl","legitimate","politics",4,"wilcox","ok"
"306","strucchange","Grossarl","legitimate","politics",4,"tukey","ok"
"307","strucchange","Grossarl","deaths","politics",4,"t pool.sd","ok"
"308","strucchange","Grossarl","deaths","politics",4,"t !pool.sd","ok"
"309","strucchange","Grossarl","deaths","politics",4,"wilcox","ok"
"310","strucchange","Grossarl","deaths","politics",4,"tukey","ok"
"311","strucchange","Grossarl","fraction","politics",4,"t pool.sd","ok"
"312","strucchange","Grossarl","fraction","politics",4,"t !pool.sd","ok"
"313","strucchange","Grossarl","fraction","politics",4,"wilcox","ok"
"314","strucchange","Grossarl","fraction","politics",4,"tukey","ok"
"315","strucchange","Grossarl","lag.marriages","politics",4,"t pool.sd","ok"
"316","strucchange","Grossarl","lag.marriages","politics",4,"t !pool.sd","ok"
"317","strucchange","Grossarl","lag.marriages","politics",4,"wilcox","ok"
"318","strucchange","Grossarl","lag.marriages","politics",4,"tukey","ok"
"319","strucchange","Grossarl","year","politics",4,"t pool.sd","ok"
"320","strucchange","Grossarl","year","politics",4,"t !pool.sd","ok"
"321","strucchange","Grossarl","year","politics",4,"wilcox","ok"
"322","strucchange","Grossarl","year","politics",4,"tukey","ok"
"323","strucchange","Grossarl","marriages","morals",5,"t pool.sd","ok"
"324","strucchange","Grossarl","marriages","morals",5,"t !pool.sd","ok"
"325","strucchange","Grossarl","marriages","morals",5,"wilcox","ok"
"326","strucchange","Grossarl","marriages","morals",5,"tukey","ok"
"327","strucchange","Grossarl","illegitimate","morals",5,"t pool.sd","ok"
"328","strucchange","Grossarl","illegitimate","morals",5,"t !pool.sd","ok"
"329","strucchange","Grossarl","illegitimate","morals",5,"wilcox","ok"
"330","strucchange","Grossarl","illegitimate","morals",5,"tukey","ok"
"331","strucchange","Grossarl","legitimate","morals",5,"t pool.sd","ok"
"332","strucchange","Grossarl","legitimate","morals",5,"t !pool.sd","ok"
"333","strucchange","Grossarl","legitimate","morals",5,"wilcox","ok"
"334","strucchange","Grossarl","legitimate","morals",5,"tukey","ok"
"335","strucchange","Grossarl","deaths","morals",5,"t pool.sd","ok"
"336","strucchange","Grossarl","deaths","morals",5,"t !pool.sd","ok"
"337","strucchange","Grossarl","deaths","morals",5,"wilcox","ok"
"338","strucchange","Grossarl","deaths","morals",5,"tukey","ok"
"339","strucchange","Grossarl","fraction","morals",5,"t pool.sd","ok"
"340","strucchange","Grossarl","fraction","morals",5,"t !pool.sd","ok"
"341","strucchange","Grossarl","fraction","morals",5,"wilcox","ok"
"342","strucchange","Grossarl","fraction","morals",5,"tukey","ok"
"343","strucchange","Grossarl","lag.marriages","morals",5,"t pool.sd","ok"
"344","strucchange","Grossarl","lag.marriages","morals",5,"t !pool.sd","ok"
"345","strucchange","Grossarl","lag.marriages","morals",5,"wilcox","ok"
"346","strucchange","Grossarl","lag.marriages","morals",5,"tukey","ok"
"347","strucchange","Grossarl","year","morals",5,"t pool.sd","ok"
"348","strucchange","Grossarl","year","morals",5,"t !pool.sd","ok"
"349","strucchange","Grossarl","year","morals",5,"wilcox","ok"
"350","strucchange","Grossarl","year","morals",5,"tukey","ok"
"351","strucchange","Grossarl","politics:archbishopric","morals",5,"prop","ok"
"352","strucchange","Grossarl","politics:changes","morals",5,"prop","ok"
"353","strucchange","Grossarl","politics:UpperAustria","morals",5,"prop","ok"
"354","strucchange","Grossarl","politics:autonomous","morals",5,"prop","ok"
"355","strucchange","historyM1","m","season",4,"t pool.sd","ok"
"356","strucchange","historyM1","m","season",4,"t !pool.sd","ok"
"357","strucchange","historyM1","m","season",4,"wilcox","ok"
"358","strucchange","historyM1","m","season",4,"tukey","ok"
"359","strucchange","historyM1","p","season",4,"t pool.sd","ok"
"360","strucchange","historyM1","p","season",4,"t !pool.sd","ok"
"361","strucchange","historyM1","p","season",4,"wilcox","ok"
"362","strucchange","historyM1","p","season",4,"tukey","ok"
"363","strucchange","historyM1","y","season",4,"t pool.sd","ok"
"364","strucchange","historyM1","y","season",4,"t !pool.sd","ok"
"365","strucchange","historyM1","y","season",4,"wilcox","ok"
"366","strucchange","historyM1","y","season",4,"tukey","ok"
"367","strucchange","historyM1","R","season",4,"t pool.sd","ok"
"368","strucchange","historyM1","R","season",4,"t !pool.sd","ok"
"369","strucchange","historyM1","R","season",4,"wilcox","ok"
"370","strucchange","historyM1","R","season",4,"tukey","ok"
"371","strucchange","historyM1","dm","season",4,"t pool.sd","ok"
"372","strucchange","historyM1","dm","season",4,"t !pool.sd","ok"
"373","strucchange","historyM1","dm","season",4,"wilcox","ok"
"374","strucchange","historyM1","dm","season",4,"tukey","ok"
"375","strucchange","historyM1","dy2","season",4,"t pool.sd","ok"
"376","strucchange","historyM1","dy2","season",4,"t !pool.sd","ok"
"377","strucchange","historyM1","dy2","season",4,"wilcox","ok"
"378","strucchange","historyM1","dy2","season",4,"tukey","ok"
"379","strucchange","historyM1","dR","season",4,"t pool.sd","ok"
"380","strucchange","historyM1","dR","season",4,"t !pool.sd","ok"
"381","strucchange","historyM1","dR","season",4,"wilcox","ok"
"382","strucchange","historyM1","dR","season",4,"tukey","ok"
"383","strucchange","historyM1","dR1","season",4,"t pool.sd","ok"
"384","strucchange","historyM1","dR1","season",4,"t !pool.sd","ok"
"385","strucchange","historyM1","dR1","season",4,"wilcox","ok"
"386","strucchange","historyM1","dR1","season",4,"tukey","ok"
"387","strucchange","historyM1","dp","season",4,"t pool.sd","ok"
"388","strucchange","historyM1","dp","season",4,"t !pool.sd","ok"
"389","strucchange","historyM1","dp","season",4,"wilcox","ok"
"390","strucchange","historyM1","dp","season",4,"tukey","ok"
"391","strucchange","historyM1","m1","season",4,"t pool.sd","ok"
"392","strucchange","historyM1","m1","season",4,"t !pool.sd","ok"
"393","strucchange","historyM1","m1","season",4,"wilcox","ok"
"394","strucchange","historyM1","m1","season",4,"tukey","ok"
"395","strucchange","historyM1","y1","season",4,"t pool.sd","ok"
"396","strucchange","historyM1","y1","season",4,"t !pool.sd","ok"
"397","strucchange","historyM1","y1","season",4,"wilcox","ok"
"398","strucchange","historyM1","y1","season",4,"tukey","ok"
"399","strucchange","historyM1","R1","season",4,"t pool.sd","ok"
"400","strucchange","historyM1","R1","season",4,"t !pool.sd","ok"
"401","strucchange","historyM1","R1","season",4,"wilcox","ok"
"402","strucchange","historyM1","R1","season",4,"tukey","ok"
"403","strucchange","historyM1","ecm.res","season",4,"t pool.sd","ok"
"404","strucchange","historyM1","ecm.res","season",4,"t !pool.sd","ok"
"405","strucchange","historyM1","ecm.res","season",4,"wilcox","ok"
"406","strucchange","historyM1","ecm.res","season",4,"tukey","ok"
"407","coin","alzheimer","disease:Alzheimer","smoking",4,"prop","ok"
"408","coin","alzheimer","disease:Other dementias","smoking",4,"prop","ok"
"409","coin","alzheimer","disease:Other diagnoses","smoking",4,"prop","ok"
"410","coin","alzheimer","gender:Female","smoking",4,"prop","ok"
